customer_number,berlangganan_deposito
445420,0.04612009400884646
585604,0.026924411028310145
888824,0.02194976708623321
816820,0.03681151942265331
542716,0.0732849481332496
937852,0.025774201606493963
434084,0.0688252008988447
230861,0.03790293724858118
159684,0.37095193189489256
274159,0.0694724644985419
415073,0.09431041303171353
839604,0.7858030186127134
222848,0.057261137996784756
746851,0.058043966772817195
359083,0.031196594089291846
764740,0.10163343744064832
532666,0.0633809648630357
542489,0.035833152379836176
683800,0.11227091631142806
393880,0.03765778179120102
346443,0.132585125581697
722690,0.029965414725769877
797639,0.073208173106189
974186,0.3534745805692469
774649,0.0812470604781267
482188,0.1796507488810044
312516,0.05221941806800543
363861,0.060897326470550496
714683,0.1106577932042198
708370,0.07343271260082099
371413,0.041422477925661366
630217,0.03497092098999351
571146,0.12905554485374554
962328,0.06022317156200423
470375,0.03493769783794299
945629,0.03521820256744444
179592,0.018574535487384705
744791,0.11262824956963154
289641,0.3879533889614257
595829,0.07678342997566436
620262,0.3332257286325256
738283,0.05668872963185465
288862,0.4101359226754333
854233,0.030999085247445945
401365,0.04180475823959646
671370,0.09679767206324821
307359,0.06527449494334824
845744,0.038368816974026054
833496,0.10391769546192009
889877,0.05638688553638352
600454,0.3827654094446479
595366,0.0671725137185886
299980,0.17838074691193775
316195,0.07254202152248145
892132,0.10421416114426144
429227,0.27121010735263656
568864,0.10090931418037076
453514,0.03390756819135748
655724,0.06918305651583125
405125,0.09938981073764103
357624,0.06963146859102398
706564,0.061710126203558584
328177,0.09492118786627836
322194,0.05698157749172949
415259,0.07103857666999633
737899,0.21545076209026398
934827,0.02613618755128876
932482,0.0435436218366703
452141,0.055377823610868605
252326,0.037649307745454226
543165,0.022188200857674912
961597,0.0573626394239088
529109,0.03511319518264527
830645,0.1164490240530296
628282,0.046698901953685444
989235,0.31045124428052984
779931,0.03718519691008213
171152,0.36440117606806727
467849,0.039779953976433344
424751,0.07781309694336747
335651,0.0554649839563246
960826,0.06904803763957602
307645,0.05812299266650605
126669,0.026686371692468666
876278,0.04957009342184433
464099,0.05575887897471346
682185,0.045098964193353436
912996,0.03816866479431765
540820,0.05396125448690082
667534,0.022345035816866594
232173,0.11161940997527445
503340,0.05674807646793414
524302,0.1233053593163104
722557,0.026566520291976422
217598,0.05144372305258856
169002,0.1284853494289998
651324,0.14527063812027374
663126,0.03821568469128062
621228,0.053243987898869416
963929,0.031792978863313066
809507,0.07815911196616884
453945,0.06505556879628795
743732,0.48210840136419814
385403,0.5697005930236044
241287,0.36720539603625557
737937,0.14404780537778222
125159,0.026958500274101727
122370,0.04232980074963094
814180,0.032015532138855066
945339,0.059997348923886924
364136,0.045866826614334236
343072,0.09727738528159861
938465,0.2006165945748228
149951,0.05520172910669735
222232,0.048365518394069884
832629,0.05107625936632342
296781,0.06304458842250309
748715,0.04998147573485969
604027,0.14458801256511805
859866,0.04483126798100662
792616,0.018915138456567417
465754,0.03639087125232862
678835,0.051719647521309954
998270,0.3275737858966334
166767,0.0220860525604413
739982,0.08335537953464639
806252,0.03571530137828846
921673,0.12061011886218219
611081,0.16360229748311472
818716,0.08310837272209629
230739,0.028049169261821272
216209,0.1359525679602957
516335,0.0269485919049847
